id;description;date_operation;montant;operationcategorie_id
1;Produits alimentaires et boissons non alcoolisées;2011-01-01;29.64;1
2;Produits alimentaires;2011-01-01;-456.00;2
3;Boissons non alcoolisées;2011-01-01;218.77;3
4;Boissons alcoolisées et tabac;2011-01-01;129.76;4
5;Boissons alcoolisées;2011-01-01;128.94;5
6;Tabac;2011-01-01;118.84;6
7;Articles d'habillement et articles chaussants;2011-01-01;335.86;7
8;Articles d'habillement;2011-01-01;-245.46;8
9;Articles chaussants;2011-01-01;-387.35;9
10;Logement. eau. électricité. gaz et autres combustibles;2011-01-01;90.53;10
11;Loyers d'habitation réels;2011-01-02;-192.94;11
12;Loyers d'habitation imputés;2011-01-02;-487.20;12
13;Entretien et de réparation du logement;2011-01-02;-73.40;13
14;Adduction d'eau et autres services relatifs au logement;2011-01-02;-243.36;14
15;Électricité. gaz et autres combustibles;2011-01-02;334.44;15
16;Ameublement. équipement ménager et entretien courant de la maison;2011-01-02;50.84;16
17;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2011-01-02;-90.28;17
18;Articles de ménage en textile;2011-01-02;-450.42;18
19;Appareils ménagers;2011-01-02;-292.52;19
20;Verrerie. vaisselle et ustensiles de ménage;2011-01-02;210.01;20
21;Outillage pour la maison et le jardin;2011-01-03;-93.87;21
22;Biens et services pour l'entretien courant du logement;2011-01-03;115.10;22
23;Santé;2011-01-03;-443.78;23
24;"Produits et appareils thérapeutiques; matériel médical";2011-01-03;112.17;24
25;Services de consultation externe;2011-01-03;320.11;25
26;Services hospitaliers;2011-01-03;-447.52;26
27;Transports;2011-01-03;74.85;27
28;Achats de véhicules;2011-01-03;-189.99;28
29;Utilisation de véhicules personnels;2011-01-03;-402.92;29
30;Services de transport;2011-01-03;86.14;30
31;Communications;2011-01-04;297.36;31
32;Communications;2011-01-04;-62.86;32
33;Loisirs et culture;2011-01-04;-15.07;33
34;Équipements audiovisuels. photographiques et informatiques;2011-01-04;256.32;34
35;Autres biens durables importants du domaine des loisirs et de la culture;2011-01-04;471.50;35
36;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2011-01-04;-422.05;36
37;Services récréatifs et culturels;2011-01-04;-484.16;37
38;Édition. presse et papeterie;2011-01-04;62.40;38
39;Voyages à forfait;2011-01-04;320.28;39
40;Enseignement;2011-01-04;-491.50;40
41;Enseignement;2011-01-05;-157.62;41
42;Restaurants et hôtels;2011-01-05;305.14;42
43;Services de restauration;2011-01-05;-232.97;43
44;Services d'hébergement;2011-01-05;201.80;44
45;Autres biens et servicesDocumentation des articles;2011-01-05;242.32;45
46;Soins personnels;2011-01-05;-381.41;46
47;Effets personnels n.d.a.;2011-01-05;238.32;47
48;Protection sociale;2011-01-05;-466.77;48
49;Assurances;2011-01-05;-427.25;49
50;Services financiers n.d.a;2011-01-05;210.34;50
51;Autres services n.d.a;2011-01-06;396.92;51
52;Produits alimentaires et boissons non alcoolisées;2011-01-06;-345.69;1
53;Produits alimentaires;2011-01-06;199.54;2
54;Boissons non alcoolisées;2011-01-06;-130.44;3
55;Boissons alcoolisées et tabac;2011-01-06;250.78;4
56;Boissons alcoolisées;2011-01-06;-394.25;5
57;Tabac;2011-01-06;240.84;6
58;Articles d'habillement et articles chaussants;2011-01-06;275.80;7
59;Articles d'habillement;2011-01-06;406.86;8
60;Articles chaussants;2011-01-06;-190.98;9
61;Logement. eau. électricité. gaz et autres combustibles;2011-01-07;-238.13;10
62;Loyers d'habitation réels;2011-01-07;-290.80;11
63;Loyers d'habitation imputés;2011-01-07;213.37;12
64;Entretien et de réparation du logement;2011-01-07;-353.78;13
65;Adduction d'eau et autres services relatifs au logement;2011-01-07;-290.39;14
66;Électricité. gaz et autres combustibles;2011-01-07;335.11;15
67;Ameublement. équipement ménager et entretien courant de la maison;2011-01-07;430.62;16
68;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2011-01-07;-480.76;17
69;Articles de ménage en textile;2011-01-07;391.41;18
70;Appareils ménagers;2011-01-07;-495.68;19
